Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1949,-0.11,-0.03,-0.19,0.11,-0.19,-0.23,0.21,0.17,0.04,-0.23,-0.15,-0.17,-0.15,-1.99
1950,-0.17,-0.15,-0.21,-0.05,-0.29,-0.14,0.19,-0.31,0.04,-0.3,-0.28,-0.06,-0.16,-0.86
1951,-0.07,0.05,-0.18,0.08,-0.06,-0.23,0.08,0.01,0.12,0.0,-0.12,-0.21,-0.16,-0.7
1952,0.01,0.06,-0.04,0.11,0.02,-0.09,0.28,-0.1,0.19,-0.01,0.04,-0.1,-0.02,-0.52
1953,0.08,0.25,-0.08,0.36,0.07,-0.18,1.03,0.36,0.14,0.08,0.06,-0.08,-0.24,-1.12
1954,-0.13,-0.02,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0.0,-0.14,-0.29,-0.17,-0.2,-0.82
1955,-0.14,-0.09,-0.2,0.05,-0.34,-0.06,-0.23,-0.11,0.23,-0.29,-0.39,-0.16,-0.08,1.21
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.01,0.01,-0.48,-0.09,-0.28,-0.38,-0.13,0.03,0.77
1957,0.05,0.04,0.06,0.03,0.08,0.02,0.09,0.22,-0.11,0.06,0.1,-0.09,-0.02,0.49
1958,0.06,0.15,-0.03,0.08,0.21,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53
1959,0.03,0.13,-0.06,0.16,0.08,-0.16,0.49,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.36
1960,-0.02,0.08,-0.13,0.09,0.02,-0.2,0.34,-0.07,0.11,0.06,-0.03,-0.1,-0.07,-0.75
1961,0.06,0.08,0.03,0.19,-0.03,0.05,-0.16,0.38,0.18,-0.07,0.0,0.14,-0.17,0.21
1962,0.03,0.13,-0.07,0.24,-0.05,-0.07,0.44,0.31,0.14,-0.04,-0.05,0.09,-0.07,-0.65
1963,0.05,0.14,-0.03,0.14,0.11,-0.11,-0.16,0.31,0.13,0.13,0.09,-0.1,-0.17,-0.03
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.65,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.38
1965,-0.11,-0.14,-0.07,-0.19,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,0.0
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.24,-0.14,0.11
1967,-0.02,0.03,-0.07,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.09,-0.33,-0.02,-0.09,-0.02,-0.11,-0.14,0.0,-0.07
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.14
1970,0.03,-0.04,0.09,-0.11,0.06,0.11,-0.21,-0.13,-0.06,0.06,0.07,0.11,0.03,0.31
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.3,-0.22,0.03,0.16,0.44
1972,0.01,-0.18,0.2,-0.34,0.17,0.14,-0.37,-0.47,-0.24,0.06,0.27,0.16,-0.02,0.45
1973,0.16,0.09,0.23,0.1,0.19,0.18,0.06,0.27,0.02,0.07,0.3,0.21,0.07,0.34
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.17,-0.19,-0.07,-0.18,-0.23,-0.17,0.21,-0.09,0.65
1975,-0.01,-0.05,0.02,0.12,-0.24,0.15,0.1,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.29
1976,-0.1,-0.21,0.01,-0.26,-0.12,0.08,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24
1977,0.18,0.12,0.24,0.14,0.16,0.25,0.16,0.24,0.07,0.09,0.22,0.21,0.31,0.28
1978,0.07,0.02,0.11,-0.03,0.08,0.16,-0.16,0.04,-0.03,0.1,0.05,0.2,0.13,0.04
1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.62,0.07,0.09,0.25,0.27,0.29,0.33,-0.2
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.03,0.32,0.29,0.35,0.37,0.59
1981,0.32,0.37,0.27,0.48,0.18,0.35,1.09,0.78,0.09,0.21,0.15,0.28,0.39,0.61
1982,0.14,0.05,0.22,-0.07,0.27,0.18,-0.4,0.1,-0.08,0.24,0.29,0.18,0.32,-0.11
1983,0.31,0.25,0.38,0.22,0.43,0.24,0.19,0.69,-0.06,0.28,0.58,0.21,0.41,0.05
1984,0.15,0.04,0.27,0.02,0.18,0.26,0.36,0.08,-0.13,0.06,0.3,0.16,0.32,0.51
1985,0.12,0.0,0.23,-0.03,0.09,0.3,0.38,-0.26,-0.01,0.04,0.14,0.29,0.44,0.04
1986,0.18,0.13,0.23,0.11,0.22,0.19,0.0,0.28,0.04,0.17,0.27,0.25,0.25,-0.1
1987,0.32,0.25,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.54,0.62,0.32,0.25,0.01
1988,0.39,0.37,0.4,0.4,0.37,0.39,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.88
1989,0.27,0.27,0.27,0.41,0.12,0.33,0.32,0.69,0.26,0.06,0.19,0.35,0.3,0.33
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.49,0.37,0.36,0.37,0.37,0.35
1991,0.4,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.97
1992,0.22,0.13,0.31,0.1,0.28,0.26,-0.17,0.44,-0.03,0.19,0.36,0.2,0.33,0.4
1993,0.23,0.19,0.27,0.13,0.31,0.22,0.54,0.29,-0.11,0.28,0.35,0.26,0.39,-0.3
1994,0.31,0.37,0.26,0.43,0.31,0.2,0.34,0.5,0.42,0.28,0.34,0.26,0.23,-0.04
1995,0.44,0.58,0.31,0.7,0.42,0.22,1.31,0.98,0.32,0.4,0.44,0.28,0.15,0.15
1996,0.33,0.26,0.39,0.23,0.31,0.45,0.76,0.17,0.11,0.3,0.32,0.32,0.28,1.28
1997,0.46,0.52,0.41,0.53,0.51,0.33,0.76,0.9,0.23,0.5,0.52,0.41,0.36,0.02
1998,0.61,0.7,0.51,0.78,0.69,0.32,0.86,0.94,0.66,0.59,0.79,0.39,0.31,0.11
1999,0.38,0.48,0.28,0.7,0.2,0.3,0.4,0.8,0.74,0.15,0.25,0.46,0.19,-0.01
2000,0.39,0.5,0.28,0.7,0.24,0.28,0.97,0.8,0.55,0.2,0.28,0.41,0.1,0.26
2001,0.53,0.64,0.43,0.8,0.42,0.42,1.06,0.86,0.68,0.39,0.44,0.58,0.24,0.25
2002,0.63,0.71,0.54,0.83,0.59,0.47,1.25,1.0,0.58,0.54,0.64,0.49,0.32,0.77
2003,0.62,0.75,0.49,0.84,0.64,0.36,1.49,0.98,0.54,0.61,0.67,0.44,0.24,0.37
2004,0.53,0.66,0.41,0.72,0.55,0.32,0.46,0.95,0.66,0.56,0.54,0.47,0.23,-0.05
